[ 2015-11-11T12:14:19+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8] Array to string conversion c795ec7c211c289b8fe60bbb8373967d.php 第 85 行.
[ 2015-11-11T12:14:19+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8] Undefined index: sum_incomestatement + Array c795ec7c211c289b8fe60bbb8373967d.php 第 85 行.
[ 2015-11-11T12:14:19+08:00 ] /lejing/index.php/index/index.html | INFO: Run ParseTemplate Behavior [ RunTime:0.051003s ]
[ 2015-11-11T12:14:19+08:00 ] /lejing/index.php/index/index.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.051003s ]
[ 2015-11-11T12:14:19+08:00 ] /lejing/index.php/index/index.html | INFO: Tag[ view_filter ] --START--
[ 2015-11-11T12:14:19+08:00 ] /lejing/index.php/index/index.html | INFO: Run ContentReplace Behavior [ RunTime:0.001001s ]
[ 2015-11-11T12:14:19+08:00 ] /lejing/index.php/index/index.html | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2015-11-11T12:14:19+08:00 ] /lejing/index.php/index/index.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2015-11-11T12:14:19+08:00 ] /lejing/index.php/index/index.html | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2015-11-11T12:14:19+08:00 ] /lejing/index.php/index/index.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005001s ]
[ 2015-11-11T12:14:19+08:00 ] /lejing/index.php/index/index.html | INFO: Tag[ view_end ] --START--
[ 2015-11-11T12:14:19+08:00 ] /lejing/index.php/index/index.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2015-11-11T12:14:19+08:00 ] /lejing/index.php/index/index.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | INFO: Tag[ route_check ] --START--
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | INFO: Run CheckRoute Behavior [ RunTime:0.004001s ]
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.004001s ]
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead common.php 第 66 行.
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | INFO: Tag[ app_begin ] --START--
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8] Undefined index: postdate IndexAction.class.php 第 21 行.
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | SQL: SELECT cms_shop.shop_id,cms_shop.shop_name FROM `cms_member` LEFT JOIN cms_user_shop on cms_member.user_id = cms_user_shop.userid LEFT JOIN cms_shop on cms_shop.shop_id = cms_user_shop.shop_id WHERE user_id = 11  [ RunTime:0.001000s ]
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | SQL: SELECT * FROM `cms_role_mode` WHERE user_id = 11 and shop_id=1  [ RunTime:0.001000s ]
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | SQL: SELECT sum(price) as sumprice,sum(discount) as sumdiscount,sum(jingpian_price) as sumjingpian_price,sum(jingpian_discount) as sumjingpian_discount,sum(processing_fee) as sumprocessing_fee_all,sum(case when int_processing_fee = 1  then processing_fee else 0 end) as sumprocessing_fee,sum(spending) as sumspending_all,sum( case when int_spending = 1  then spending else 0 end) as sumspending,sum(taxes_fee) as sumtaxes_fee_all,sum(case when int_taxes_fee = 1  then taxes_fee else 0 end) as sumtaxes_fee,sum(financial_cost) as sumfinancial_cost_all,sum(case when int_financial_cost = 1  then financial_cost else 0 end) as sumfinancial_cost FROM `cms_cost` WHERE shop_id = 1  and input_date like "%2015-11%" LIMIT 1   [ RunTime:0.000000s ]
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8] Undefined variable: sumprocessing_fee IndexAction.class.php 第 139 行.
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | SQL: SELECT sum(price) as sumprice,sum(discount) as sumdiscount,sum(case when int_price_change = 1 then  price_change  else 0 end) as sumprice_change,sum(price_change) as sumprice_change_all,sum(case when int_operating_income = 1 then operating_income else 0 end) as sumoperating_income,sum(operating_income) as sumoperating_income_all,sum(case when int_subsidy_income = 1 then subsidy_income else 0 end ) as sumsubsidy_income,sum(subsidy_income) as sumsubsidy_income_all,sum(case when int_return_amount = 1 then return_amount else 0 end) as sumreturn_amount,sum(return_amount) as sumreturn_amount_all FROM `cms_incomestatement` WHERE shop_id = 1 and input_date like "%2015-11%" LIMIT 1   [ RunTime:0.001000s ]
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | SQL: SELECT sum(case when int_transfer = 1  then transfer else 0  end ) as sumtransfer,sum(case when int_pr_cost = 1 then pr_cost else 0  end) as sumpr_cost,sum(case when int_shuidianweisheng_fee = 1 then shuidianweisheng_fee else 0  end) as sumshuidianweisheng_fee,sum(case when int_wuye_fee = 1 then wuye_fee else 0  end) as sumwuye_fee,sum(case when int_advertising_fee = 1 then advertising_fee else 0  end ) as sumadvertising_fee,sum(case when int_cuxiao_fee = 1 then cuxiao_fee else 0  end) as sumcuxiao_fee,sum(case when int_xiaoshoufuliao_fee = 1 then xiaoshoufuliao_fee else 0  end) as sumxiaoshoufuliao_fee,sum(case when int_zhuangxiuweihu_fee = 1 then zhuangxiuweihu_fee else 0  end) as sumzhuangxiuweihu_fee,sum(case when int_shebeiweihu then shebeiweihu else 0  end) as sumshebeiweihu,sum(case when int_zhejiutuixiao = 1 then zhejiutuixiao end) as sumzhejiutuixiao,sum(case when int_jiameng =1 then jiameng else 0  end ) as sumjiameng,sum(case when int_pinpaishiyong_fee =1 then pinpaishiyong_fee else 0  end) as sumpinpaishiyong_fee,sum(case when int_jiameng_fee = 1 then jiameng_fee else 0  end) as sumjiameng_fee,sum(case when int_qita =1 then jiameng_fee else 0  end) as sumqita FROM `cms_sell_fee` WHERE input_date like "%2015-11%" and shop_id = 1 LIMIT 1   [ RunTime:0.001000s ]
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | SQL: SELECT sum( case when int_rent_money = 1 then rent_money else 0 end )as sumrent_money FROM `cms_sell_fee` WHERE input_date like "%2015-11%" and shop_id = 1 LIMIT 1   [ RunTime:0.001000s ]
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | SQL: SELECT sum(case when int_baoxian_fee = 1 then baoxian_fee else 0 end ) as sumbaoxian_fee,sum(case when int_bangong_fee = 1  then bangong_fee else 0 end ) as sumbangong_fee,sum(case when int_tongxun_fee = 1 then tongxun_fee else 0 end) as sumtongxun_fee,sum(case when int_chailv_fee = 1 then chailv_fee else 0 end) as sumchailv_fee,sum(case when int_fuli_fee = 1 then fuli_fee  else 0 end) as sumfuli_fee,sum(case when int_zhaodai_fee = 1 then zhaodai_fee else 0 end ) as sumzhaodai_fee,sum(case when int_car_fee = 1 then car_fee else 0 end) as sumcar_fee,sum(case when int_peixun_fee = 1 then peixun_fee else 0 end) as sumpeixun_fee,sum(case when int_zhengjian_fee = 1 then zhengjian_fee else 0 end) as sumzhengjian_fee,sum(case when int_zhijian_fee then zhijian_fee else 0 end) as sumzhijian_fee,sum(case when int_gongguan_fee = 1 then gongguan_fee else 0 end) as sumgongguan_fee,sum(case when int_zhejiu_fee =1 then zhejiu_fee else 0 end ) as sumzhejiu_fee,sum(case when int_guanli_fee = 1 then guanli_fee else 0 end ) as sumguanli_fee,sum(case when int_gongtan_fee = 1 then gongtan_fee else 0 end) as sumgongtan_fee,sum(case when int_qita_fee = 1 then qita_fee else 0 end) as sumqita FROM `cms_manage_fee` WHERE input_date like "%2015-11%" and shop_id = 1 LIMIT 1   [ RunTime:0.001000s ]
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | SQL: SELECT sum( case when int_express_cost = 1 then express_cost else 0 end ) as sumexpress_cost,sum(case when int_share_cost = 1 then share_cost else 0 end) as sumshare_cost FROM `cms_express_fee` WHERE  input_date like "%2015-11%" and shop_id = 1 LIMIT 1   [ RunTime:0.000000s ]
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | SQL: SELECT sum(shifagongzi) as sumshifagongzi FROM `cms_employee_pay` WHERE  input_date like "%2015-11%" and is_used = "0" and shop_id = 1 LIMIT 1   [ RunTime:0.000000s ]
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | SQL: SELECT * FROM `cms_role_mode` WHERE user_id = 11 and shop_id=5  [ RunTime:0.000000s ]
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | SQL: SELECT sum(price) as sumprice,sum(discount) as sumdiscount,sum(jingpian_price) as sumjingpian_price,sum(jingpian_discount) as sumjingpian_discount,sum(processing_fee) as sumprocessing_fee_all,sum(case when int_processing_fee = 1  then processing_fee else 0 end) as sumprocessing_fee,sum(spending) as sumspending_all,sum( case when int_spending = 1  then spending else 0 end) as sumspending,sum(taxes_fee) as sumtaxes_fee_all,sum(case when int_taxes_fee = 1  then taxes_fee else 0 end) as sumtaxes_fee,sum(financial_cost) as sumfinancial_cost_all,sum(case when int_financial_cost = 1  then financial_cost else 0 end) as sumfinancial_cost FROM `cms_cost` WHERE shop_id = 5  and input_date like "%2015-11%" LIMIT 1   [ RunTime:0.001000s ]
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8] Undefined variable: sumprocessing_fee IndexAction.class.php 第 139 行.
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | SQL: SELECT sum(price) as sumprice,sum(discount) as sumdiscount,sum(case when int_price_change = 1 then  price_change  else 0 end) as sumprice_change,sum(price_change) as sumprice_change_all,sum(case when int_operating_income = 1 then operating_income else 0 end) as sumoperating_income,sum(operating_income) as sumoperating_income_all,sum(case when int_subsidy_income = 1 then subsidy_income else 0 end ) as sumsubsidy_income,sum(subsidy_income) as sumsubsidy_income_all,sum(case when int_return_amount = 1 then return_amount else 0 end) as sumreturn_amount,sum(return_amount) as sumreturn_amount_all FROM `cms_incomestatement` WHERE shop_id = 5 and input_date like "%2015-11%" LIMIT 1   [ RunTime:0.000000s ]
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | SQL: SELECT sum(case when int_transfer = 1  then transfer else 0  end ) as sumtransfer,sum(case when int_pr_cost = 1 then pr_cost else 0  end) as sumpr_cost,sum(case when int_shuidianweisheng_fee = 1 then shuidianweisheng_fee else 0  end) as sumshuidianweisheng_fee,sum(case when int_wuye_fee = 1 then wuye_fee else 0  end) as sumwuye_fee,sum(case when int_advertising_fee = 1 then advertising_fee else 0  end ) as sumadvertising_fee,sum(case when int_cuxiao_fee = 1 then cuxiao_fee else 0  end) as sumcuxiao_fee,sum(case when int_xiaoshoufuliao_fee = 1 then xiaoshoufuliao_fee else 0  end) as sumxiaoshoufuliao_fee,sum(case when int_zhuangxiuweihu_fee = 1 then zhuangxiuweihu_fee else 0  end) as sumzhuangxiuweihu_fee,sum(case when int_shebeiweihu then shebeiweihu else 0  end) as sumshebeiweihu,sum(case when int_zhejiutuixiao = 1 then zhejiutuixiao end) as sumzhejiutuixiao,sum(case when int_jiameng =1 then jiameng else 0  end ) as sumjiameng,sum(case when int_pinpaishiyong_fee =1 then pinpaishiyong_fee else 0  end) as sumpinpaishiyong_fee,sum(case when int_jiameng_fee = 1 then jiameng_fee else 0  end) as sumjiameng_fee,sum(case when int_qita =1 then jiameng_fee else 0  end) as sumqita FROM `cms_sell_fee` WHERE input_date like "%2015-11%" and shop_id = 5 LIMIT 1   [ RunTime:0.001000s ]
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | SQL: SELECT sum( case when int_rent_money = 1 then rent_money else 0 end )as sumrent_money FROM `cms_sell_fee` WHERE input_date like "%2015-11%" and shop_id = 5 LIMIT 1   [ RunTime:0.001000s ]
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | SQL: SELECT sum(case when int_baoxian_fee = 1 then baoxian_fee else 0 end ) as sumbaoxian_fee,sum(case when int_bangong_fee = 1  then bangong_fee else 0 end ) as sumbangong_fee,sum(case when int_tongxun_fee = 1 then tongxun_fee else 0 end) as sumtongxun_fee,sum(case when int_chailv_fee = 1 then chailv_fee else 0 end) as sumchailv_fee,sum(case when int_fuli_fee = 1 then fuli_fee  else 0 end) as sumfuli_fee,sum(case when int_zhaodai_fee = 1 then zhaodai_fee else 0 end ) as sumzhaodai_fee,sum(case when int_car_fee = 1 then car_fee else 0 end) as sumcar_fee,sum(case when int_peixun_fee = 1 then peixun_fee else 0 end) as sumpeixun_fee,sum(case when int_zhengjian_fee = 1 then zhengjian_fee else 0 end) as sumzhengjian_fee,sum(case when int_zhijian_fee then zhijian_fee else 0 end) as sumzhijian_fee,sum(case when int_gongguan_fee = 1 then gongguan_fee else 0 end) as sumgongguan_fee,sum(case when int_zhejiu_fee =1 then zhejiu_fee else 0 end ) as sumzhejiu_fee,sum(case when int_guanli_fee = 1 then guanli_fee else 0 end ) as sumguanli_fee,sum(case when int_gongtan_fee = 1 then gongtan_fee else 0 end) as sumgongtan_fee,sum(case when int_qita_fee = 1 then qita_fee else 0 end) as sumqita FROM `cms_manage_fee` WHERE input_date like "%2015-11%" and shop_id = 5 LIMIT 1   [ RunTime:0.001000s ]
[ 2015-11-11T12:22:39+08:00 ] /lejing/index.php/index/index.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
